abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,other_beneficiaries_not_listed,other_beneficiaries_description,main_beneficiaries,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
91648160010,Broadmeadows Turkish Islamic And Cultural Centre Inc.,VIC,Large,TRUE,Aged care activities,TRUE,20,12,10,0,1857712,164939,1203490,3226141,0,3226141,1460944,0,0,0,1011585,2472529,753612,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,3226141,0,accurate,2472529,0,accurate,42,34784.380952380954,not excessive,0,1857712,0.5758310005669312,balanced
91770583323,HAWTHORN RSL SUB-BRANCH PATRIOTIC FUND,VIC,Small,TRUE,Social services,TRUE,0,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,2,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,2,0,accurate,0,0,accurate,5,0,not excessive,0,0,0,balanced
91794316901,Psychotherapy And Counselling Federation Of Australia,VIC,Medium,TRUE,Other health service delivery,TRUE,2,5,1,70,0,58050,598866,656916,0,656916,433493,0,0,0,188123,621616,35300,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,656916,0,accurate,621616,0,accurate,78,5557.602564102564,not excessive,0,0,0,balanced
91796828603,The Trustee For Deakin Allen And Marj Coombs Childrens Welfare Trust,VIC,Small,TRUE,Social services,TRUE,0,0,0,6,0,1705,2707,0,69,4481,0,0,1442,0,357,1799,2682,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,4481,0,accurate,1799,0,accurate,6,0,not excessive,0,0,0,balanced
91821214301,Go Girls Foundation,VIC,Small,TRUE,Employment training,TRUE,0,0,4,20,0,9000,37742,0,0,46742,10080,0,0,0,13568,23648,23094,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,46742,0,accurate,23648,0,accurate,24,420,not excessive,0,0,0,balanced
91844560623,North Melbourne Language And Learning Inc.,VIC,Medium,TRUE,Employment training,TRUE,1,34,28,65,515964,0,92930,608894,0,608894,427824,0,0,0,178868,606692,2202,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,608894,0,accurate,606692,0,accurate,128,3342.375,not excessive,0,515964,0.8473790183513058,balanced
91896877254,Women In Super,VIC,Medium,TRUE,Economic social community development,TRUE,1,1,0,15,0,0,581578,581578,0,581578,120211,0,0,0,422797,543008,38570,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,581578,0,accurate,543008,0,accurate,17,7071.235294117647,not excessive,0,0,0,balanced
91925537278,Dargo And District Community Group Inc,VIC,Small,TRUE,Economic social community development,TRUE,0,1,0,30,28748,1208,12248,0,0,42204,23171,0,0,0,21020,44191,-1987,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,42204,0,accurate,44191,0,accurate,31,747.4516129032259,not excessive,0,28748,0.6811676618330016,balanced
91981032085,Balmoral Bush Nursing Centre Inc,VIC,Medium,TRUE,Other health service delivery,TRUE,0,12,10,30,691165,24315,175662,891142,0,891142,663386,0,36,0,321924,985346,-94204,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,891142,0,accurate,985346,0,accurate,52,12757.423076923076,not excessive,0,691165,0.7755946863687269,balanced
92051781961,Bayside Companion Dog Training School Incorporated Association,VIC,Small,TRUE,Other education,TRUE,0,0,0,35,0,0,52906,0,0,52906,0,0,17900,0,25164,43064,9842,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,52906,0,accurate,43064,0,accurate,35,0,not excessive,0,0,0,balanced
