abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,government_grants,main_beneficiaries,other_beneficiaries_not_listed,other_beneficiaries_description,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
78750731039,KEILOR EAST RSL SUB-BRANCH PATRIOTIC FUND,VIC,SMALL,TRUE,Social services,TRUE,0,0,0,5,20000,15393,179393,0,179393,0,0,0,0,137574,137574,41819,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,144000,0,0,Veterans and/or their families,FALSE,NA,179393,0,accurate,137574,0,accurate,5,0,not excessive,0,0,0,balanced
78758431132,INVERLOCH RSL SUB-BRANCH PATRIOTIC FUND,VIC,SMALL,TRUE,Social services,TRUE,0,0,0,5,0,5236,11054,0,11054,0,0,0,0,10066,10066,988,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,5818,0,0,Veterans and/or their families,FALSE,NA,11054,0,accurate,10066,0,accurate,5,0,not excessive,0,0,0,balanced
78821615548,The Trustee For Ethiopiaid Australia Foundation,VIC,Large,TRUE,Economic social community development,TRUE,2,0,0,6,1357283,0,1357283,0,1357283,133162,0,0,736947,426847,1296956,60327,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,0,0,Overseas communities or charities,FALSE,NA,1357283,0,accurate,1296956,0,accurate,8,16645.25,not excessive,0,0,0,balanced
78825134237,THE TRUSTEE FOR ALICE O'BRIEN CHARITABLE TRUST,VIC,Small,TRUE,Social services,TRUE,0,0,0,2,0,0,52569,83495,136064,0,0,31450,0,13788,45238,90826,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,52569,0,Other charities,FALSE,NA,136064,0,accurate,45238,0,accurate,2,0,not excessive,0,0,0,balanced
78831662475,Healesville Living & Learning Centre Inc,VIC,Medium,TRUE,Other education,TRUE,0,7,1,27,393,95820,359400,0,359400,285630,0,0,0,98832,384462,-25062,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,27134,0,236053,Financially disadvantaged people,FALSE,NA,359400,0,accurate,384462,0,accurate,35,8160.857142857143,not excessive,0,236053,0.6567974401780746,balanced
78926246721,Bubup Wilam Aboriginal Child and Family Centre Incorporated,VIC,Large,TRUE,Other health service delivery,TRUE,23,16,12,5,0,50898,2748748,0,2748748,1991584,0,0,0,187148,2178732,570016,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,0,2697850,Aboriginal and Torres Strait Islander people,FALSE,NA,2748748,0,accurate,2178732,0,accurate,56,35564,not excessive,0,2697850,0.9814832061724101,balanced
78940688691,Daly Family Foundation,VIC,Small,TRUE,Social services,TRUE,0,0,0,0,100000,0,100000,409,100409,0,0,10000,0,1823,11823,88586,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,0,0,General community in Australia,FALSE,NA,100409,0,accurate,11823,0,accurate,0,0,not excessive,0,0,0,balanced
78941184276,Ararat Neighbourhood House,VIC,Small,TRUE,Social services,TRUE,1,1,0,10,0,0,0,26215,26215,0,0,0,0,36704,36704,-10489,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,0,NA,FALSE,NA,26215,0,accurate,36704,0,accurate,12,0,not excessive,0,0,0,balanced
78971273244,Presbyterian & Scots' Church Joint Mission Inc,VIC,Small,TRUE,Employment training,TRUE,0,1,0,20,39801,3000,42801,5716,48517,22500,0,0,0,16584,39084,9433,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,0,General community in Australia,FALSE,NA,48517,0,accurate,39084,0,accurate,21,1071.4285714285713,not excessive,0,0,0,balanced
79004080862,Travellers Aid Australia,VIC,Large,TRUE,Aged care activities,TRUE,10,10,6,80,138400,193275,2032500,0,2032500,1448206,0,0,0,475358,1923564,108936,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,166865,31631,1502329,Adults - aged 65 and over,FALSE,NA,2032500,0,accurate,1923564,0,accurate,106,13662.32075471698,not excessive,0,1502329,0.7391532595325954,balanced
79004170772,Caulfield Grammar School,VIC,Large,TRUE,Other education,TRUE,450,192,818,29,1212888,6276082,114054048,58552,114112600,64430639,4492,0,0,39740086,104175217,9937383,2017,Valid ABN,TRUE,TRUE,L,TRUE,Extra Extra Large,88183353,1879730,16501995,General community in Australia,FALSE,NA,114112600,0,accurate,104175217,0,accurate,1489,43271.080591000675,not excessive,0,16501995,0.14461150652951557,balanced
79004256259,The Mutual Help Limited,VIC,Small,TRUE,Aged care activities,TRUE,0,0,0,0,0,1830,162835,0,162835,0,0,0,0,935709,935709,-772874,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,156942,4063,0,Adults - aged 65 and over,FALSE,NA,162835,0,accurate,935709,0,accurate,0,0,not excessive,0,0,0,balanced
79010618340,Berwick Sub-Branch Returned & Services League Of Australia Incorporated,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,100,3000,0,137151,0,137151,0,0,0,0,118649,118649,18502,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,134151,0,0,Veterans and/or their families,FALSE,NA,137151,0,accurate,118649,0,accurate,100,0,not excessive,0,0,0,balanced
79011376078,Association Of School Bursars And Administrators (Vic) Inc,VIC,Small,TRUE,Other education,TRUE,0,0,0,20,0,116824,116824,0,116824,0,0,0,0,102945,102945,13879,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,0,0,Adults - aged 25 to under 65,TRUE,members of the Association,116824,0,accurate,102945,0,accurate,20,0,not excessive,0,0,0,balanced
79023667251,One Thousand Villages,VIC,Small,TRUE,International activities,TRUE,0,0,0,25,103839,23164,127003,12107,139110,12107,0,0,77098,20764,109969,29141,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,0,0,Overseas communities or charities,FALSE,NA,139110,0,accurate,109969,0,accurate,25,484.28,not excessive,0,0,0,balanced
79082871663,National Return And Disposal Of Unwanted Medicines Limited,VIC,Large,TRUE,Other health service delivery,TRUE,0,2,7,0,0,0,3878020,0,3878020,184105,0,0,0,3568783,3752888,125132,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,28020,3850000,General community in Australia,FALSE,NA,3878020,0,accurate,3752888,0,accurate,9,20456.11111111111,not excessive,0,3850000,0.9927746633591369,balanced
79147272565,THE TRUSTEE FOR TANK FOUNDATION,VIC,Large,TRUE,Other health service delivery,TRUE,0,0,0,4,1000000,0,1000000,18592,1018592,0,0,147340,0,7164,154504,864088,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,0,0,Females,FALSE,NA,1018592,0,accurate,154504,0,accurate,4,0,not excessive,0,0,0,balanced
79160595251,The Gawler Foundation Inc,VIC,Large,TRUE,Other health service delivery,TRUE,1,14,12,2,335835,15939,1852489,0,1852489,1097555,0,0,0,839589,1937144,-84655,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,1489295,11420,0,People with chronic illness (including terminal illness),FALSE,NA,1852489,0,accurate,1937144,0,accurate,29,37846.724137931036,not excessive,0,0,0,balanced
79174342927,Mental Health Victoria Ltd,VIC,Large,TRUE,Mental health crisis intervention,TRUE,8,7,1,0,5000,0,1778893,0,1778893,1110540,0,0,0,515433,1625973,152920,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,527501,0,1246392,General community in Australia,FALSE,NA,1778893,0,accurate,1625973,0,accurate,16,69408.75,not excessive,0,1246392,0.700655969751975,balanced
79181624552,Real Life Foundation Inc,VIC,Small,TRUE,Social services,TRUE,0,0,0,5,13575,0,13588,0,13588,0,0,13118,0,1334,14452,-864,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,13,0,Financially disadvantaged people,FALSE,NA,13588,0,accurate,14452,0,accurate,5,0,not excessive,0,0,0,balanced
79262349071,Bayley House,VIC,Large,TRUE,Other health service delivery,TRUE,36,71,33,60,609818,83273,10356593,0,10356593,7816358,0,0,0,2768255,10584613,-228020,2017,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,1640367,143657,7879478,People with disabilities,FALSE,NA,10356593,0,accurate,10584613,0,accurate,200,39081.79,not excessive,0,7879478,0.7608175777497483,balanced
79283699634,The Sale RSL & Community Sub-Branch Inc,VIC,Large,TRUE,Aged care activities,TRUE,3,2,13,30,10181,1842293,1891484,0,1891484,497765,110230,0,0,1222966,1830961,60523,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,0,39010,Other charities,FALSE,NA,1891484,0,accurate,1830961,0,accurate,48,10370.104166666666,not excessive,0,39010,0.02062401796684508,balanced
