abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_other,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,total_grants_use,grants_income_prop,grants_use_prop,imbalanced_grants
72891190105,The Trustee For G.L. Curtis Scholarship,VIC,Small,TRUE,Grant-making activities,TRUE,0,0,0,0,0,0,0,0,0,664,0,0,569,0,114,683,-19,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,664,accurate,114,569,accurate,0,0,not excessive,0,0,569,0,0.8569277108433735,balanced
72895788372,Women's Health East Inc.,VIC,Medium,TRUE,Civic advocacy activities,TRUE,2,5,2,NA,579619,120,48767,628506,5434,633940,444656,0,0,0,145837,590493,43447,2014,Valid ABN,TRUE,TRUE,TRUE,M,TRUE,Medium,633940,0,accurate,590493,0,accurate,9,49406.22222222222,not excessive,0,579739,0,0.9145013723696249,0,balanced
72896428990,Goulburn Valley Turkish Islamic & Cultural Society,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,NA,900,39836,0,0,0,46312,0,0,0,0,41990,41990,4322,2014,Valid ABN,TRUE,TRUE,TRUE,S,TRUE,Extra Small,40736,5576,accurate,41990,0,accurate,0,0,not excessive,0,40736,0,0.8795992399378131,0,balanced
72906517059,Australian Friendship Circle Inc,VIC,Small,TRUE,Social services,TRUE,1,4,0,NA,0,49760,0,0,0,70155,5540,0,0,0,68767,74307,4152,2014,Valid ABN,FALSE,TRUE,TRUE,S,TRUE,Small,49760,20395,accurate,74307,0,accurate,5,1108,not excessive,0,49760,0,0.7092865797163423,0,balanced
72933095681,MIRBOO NORTH RSL SUB-BRANCH PATRIOTIC FUND,VIC,Small,TRUE,Other activity,FALSE,0,0,0,NA,18150,1244,0,0,0,25333,0,0,0,0,7080,7080,18253,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,19394,5939,accurate,7080,0,accurate,0,0,not excessive,0,19394,0,0.7655627047724313,0,balanced
72943633619,Maldon Brass Band Inc,VIC,Small,TRUE,Culture arts,TRUE,0,0,0,NA,0,7502,0,0,0,7650,0,0,0,0,4066,4066,3584,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,7502,148,accurate,4066,0,accurate,0,0,not excessive,0,7502,0,0.9806535947712418,0,balanced
73068554076,Knoxbrooke Enterprises Limited,VIC,Large,TRUE,Employment training,TRUE,43,90,25,0,1233509,37289,2921039,4191837,0,4191837,2302457,116223,0,0,1787821,4206501,-14664,2014,Valid ABN,TRUE,TRUE,TRUE,L,TRUE,Large,4191837,0,accurate,4206501,0,accurate,158,14572.512658227848,not excessive,0,1270798,0,0.30316016581751626,0,balanced
73076581112,Unison Housing Limited,VIC,Large,TRUE,Housing activities,TRUE,49,26,18,0,3879581,0,14991356,18870937,0,18870937,5530975,2154160,0,0,15257074,22942209,-4071272,2014,Valid ABN,TRUE,TRUE,TRUE,L,TRUE,Extra Large,18870937,0,accurate,22942209,0,accurate,93,59472.84946236559,not excessive,0,3879581,0,0.2055849690982488,0,balanced
73088112261,Children First Foundation,VIC,Large,TRUE,Other health service delivery,TRUE,2,6,1,NA,0,869031,0,1113819,244788,1113819,485920,0,0,0,552612,1038532,75287,2014,Valid ABN,FALSE,TRUE,TRUE,L,TRUE,Large,1113819,0,accurate,1038532,0,accurate,9,53991.11111111111,not excessive,0,869031,0,0.7802264102156634,0,balanced
73094529156,Victorian Doctors' Health Program Limited,VIC,Medium,TRUE,Mental health crisis intervention,TRUE,2,3,2,0,0,0,485391,485391,0,485391,388450,0,0,0,96124,484574,817,2014,Valid ABN,TRUE,TRUE,TRUE,M,TRUE,Medium,485391,0,accurate,484574,0,accurate,7,55492.857142857145,not excessive,0,0,0,0,0,balanced
73097317112,Dolphin Research Institute Ltd,VIC,Medium,TRUE,Environmental activities,TRUE,2,3,10,NA,4300,120511,180547,305358,1623,306981,166942,0,0,0,116407,283349,23632,2014,Valid ABN,FALSE,FALSE,FALSE,M,TRUE,Medium,306981,0,accurate,283349,0,accurate,15,11129.466666666667,not excessive,0,124811,0,0.40657565126180445,0,balanced
73104198752,People With Multiple Sclerosis (Vic) Inc,VIC,Small,TRUE,Other activity,TRUE,0,0,0,NA,10993,2020,0,0,0,17500,0,0,0,0,17902,17902,-402,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,13013,4487,accurate,17902,0,accurate,0,0,not excessive,0,13013,0,0.7436,0,balanced
73109356794,Deakin & Community Childcare Co-Operative Ltd,VIC,Large,TRUE,Other education,TRUE,12,5,10,0,0,0,1318254,1318254,0,1318254,1108629,0,0,0,117698,1226327,91927,2014,Valid ABN,FALSE,TRUE,TRUE,L,TRUE,Large,1318254,0,accurate,1226327,0,accurate,27,41060.333333333336,not excessive,0,0,0,0,0,balanced
73124610321,St Francis Xavier Primary School,VIC,Large,TRUE,Primary secondary education,TRUE,7,14,2,NA,1751725,0,259674,2011399,0,2011399,1382184,5246,0,0,381460,1768890,-242509,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Large,2011399,0,accurate,1768890,0,accurate,23,60094.95652173913,not excessive,0,1751725,0,0.8708988122197535,0,balanced
73130299544,Mayflower Reservoir,VIC,Large,TRUE,Aged care activities,TRUE,3,23,7,NA,1804742,26805,1112815,2944362,83293,3027655,1916937,0,0,0,982934,2899871,127784,2014,Valid ABN,TRUE,TRUE,TRUE,L,TRUE,Large,3027655,0,accurate,2899871,0,accurate,33,58089,not excessive,0,1831547,0,0.6049391360640496,0,balanced
73139292866,Red Rock Christian College Inc,VIC,Medium,TRUE,Primary secondary education,TRUE,4,5,0,NA,541605,0,211816,753421,0,753421,493357,0,0,0,265418,758775,-5354,2014,Valid ABN,FALSE,FALSE,FALSE,M,TRUE,Medium,753421,0,accurate,758775,0,accurate,9,54817.444444444445,not excessive,0,541605,0,0.7188610351981163,0,balanced
73157919362,MONTMORENCY RSL SUB-BRANCH PATRIOTIC FUND,VIC,Large,TRUE,Other activity,TRUE,0,1,0,NA,0,0,1316247,1316247,0,1316247,0,0,0,0,183098,183098,1133149,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Large,1316247,0,accurate,183098,0,accurate,1,0,not excessive,0,0,0,0,0,balanced
73161872993,The Prince's Trust Australia Limited,VIC,Medium,TRUE,Research,TRUE,2,0,0,0,0,660197,0,660197,2866,663063,313251,0,0,0,164227,477478,185585,2014,Valid ABN,TRUE,FALSE,TRUE,M,TRUE,Medium,663063,0,accurate,477478,0,accurate,2,156625.5,not excessive,0,660197,0,0.9956776354584708,0,balanced
73182695868,Sacred Heart Regional Girls College,VIC,Large,TRUE,Primary secondary education,TRUE,88,47,10,NA,10112907,0,6663090,16775997,0,16775997,11384587,88912,0,0,4541077,16014576,-761421,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Extra Large,16775997,0,accurate,16014576,0,accurate,145,78514.39310344828,not excessive,0,10112907,0,0.6028200291166004,0,balanced
73214793134,The Trustee For Dandenong West Gippsland Group Of Melbourne Legacy Inc Property Fund,VIC,Small,TRUE,Aged care activities,TRUE,0,0,0,NA,0,0,0,0,0,13952,0,0,0,0,9252,9252,4500,2014,Valid ABN,FALSE,TRUE,TRUE,S,TRUE,Extra Small,0,13952,accurate,9252,0,accurate,0,0,not excessive,0,0,0,0,0,balanced
73266854075,The Trustee For Theresa Salmon Estate,VIC,Small,TRUE,Grant-making activities,TRUE,0,0,0,0,0,0,0,0,0,1249,0,0,770,0,301,1071,178,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,1249,accurate,301,770,accurate,0,0,not excessive,0,0,770,0,0.6164931945556446,balanced
73292353593,The Trustee For John Walter Hacker Estate,VIC,Small,TRUE,Grant-making activities,TRUE,0,0,0,0,0,0,0,0,0,1494,0,0,980,0,362,1342,152,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,1494,accurate,362,980,accurate,0,0,not excessive,0,0,980,0,0.6559571619812584,balanced
73362892292,Sebastopol Rsl Sub-Branch,VIC,SMALL,TRUE,Other activity,FALSE,0,0,0,NA,0,3283,0,0,0,15098,0,0,575,0,13626,14201,897,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,3283,11815,accurate,13626,575,accurate,0,0,not excessive,0,3283,575,0.21744601934030997,0.03808451450523248,balanced
73370385591,U3A Healesville Inc.,VIC,Small,TRUE,Other education,TRUE,0,0,0,NA,0,0,0,0,0,7340,0,0,0,0,7993,7993,-653,2014,Valid ABN,FALSE,TRUE,TRUE,S,TRUE,Extra Small,0,7340,accurate,7993,0,accurate,0,0,not excessive,0,0,0,0,0,balanced
73388740343,Ringwood Prostate Cancer Support Group Inc.,VIC,Small,TRUE,Other activity,TRUE,0,0,0,NA,1921,527,0,0,0,4832,0,0,1000,0,2722,3722,1110,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,2448,2384,accurate,2722,1000,accurate,0,0,not excessive,0,2448,1000,0.5066225165562914,0.20695364238410596,balanced
73400891962,Open Doors Counselling & Educational Services Incorporated,VIC,Small,TRUE,Mental health crisis intervention,TRUE,0,5,1,NA,0,197446,0,0,0,220341,122440,0,0,0,67797,190337,30104,2014,Valid ABN,TRUE,TRUE,TRUE,S,TRUE,Small,197446,22895,accurate,190237,100,accurate,6,20406.666666666668,not excessive,0,197446,0,0.8960928742267666,0,balanced
73402987394,Thomastown Child Care Centre Inc,VIC,Medium,TRUE,Other education,TRUE,7,0,5,NA,37329,3273,676462,717065,0,717065,551085,0,0,0,153016,704105,900,2014,Valid ABN,FALSE,TRUE,TRUE,M,TRUE,Medium,717064,1,accurate,704101,4,accurate,12,45923.75,not excessive,0,40602,0,0.05662248192283824,0,balanced
73411794076,Connibere C Estate,Victoria,Small,TRUE,Grant-making activities,TRUE,0,0,0,0,0,0,0,0,0,395,0,0,212,0,138,350,45,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,395,accurate,138,212,accurate,0,0,not excessive,0,0,212,0,0.5367088607594936,balanced
73418859933,PHILLIP ISLAND RSL SUB-BRANCH PATRIOTIC FUND,VIC,Medium,TRUE,Other activity,FALSE,0,0,0,NA,0,2536,568592,571127,11364,582491,0,0,0,0,186201,186201,396290,2014,Valid ABN,FALSE,FALSE,FALSE,M,TRUE,Medium,582492,1,accurate,186201,0,accurate,0,0,not excessive,0,2536,0,0.004353715336374296,0,balanced
73433055269,Our Lady Of The Pines School Donvale,VIC,Large,TRUE,Primary secondary education,TRUE,12,25,6,NA,2816158,1217,772319,3589694,0,3589694,2844052,0,0,0,539946,3383998,-205696,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Large,3589694,0,accurate,3383998,0,accurate,43,66140.74418604652,not excessive,0,2817375,0,0.7848510207276721,0,balanced
73479958449,The Trustee For Frank Shann Estate,VIC,Small,TRUE,Grant-making activities,TRUE,0,0,0,0,0,0,0,0,0,79,0,0,49,0,20,69,10,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,79,accurate,20,49,accurate,0,0,not excessive,0,0,49,0,0.620253164556962,balanced
73504356907,Loddon Campaspe Multicultural Services Inc.,VIC,Medium,TRUE,Social services,TRUE,1,6,1,NA,243272,983,24334,284255,40000,308589,11392,0,0,0,220122,231514,77075,2014,Valid ABN,TRUE,TRUE,TRUE,M,TRUE,Medium,308589,0,accurate,231514,0,accurate,8,1424,not excessive,0,244255,0,0.791522056845837,0,balanced
73510548920,Ottrey Homes Cobram & District Retirement Village,VIC,Large,TRUE,Aged care activities,TRUE,5,46,12,NA,0,880,2828001,2828881,258969,3087850,2345269,6334,0,0,785818,3137421,-49571,2014,Valid ABN,TRUE,TRUE,TRUE,L,TRUE,Large,3087850,0,accurate,3137421,0,accurate,63,37226.49206349206,not excessive,0,880,0,2.849879365901841e-4,0,balanced
73538102253,Red Cliffs-Irymple RSL Sub-Branch Welfare Patriotic Fund W341,VIC,small,TRUE,Other activity,FALSE,0,0,0,0,0,5353,0,0,0,5622,0,0,0,0,5447,5447,174,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,5353,269,accurate,5447,0,accurate,0,0,not excessive,0,5353,0,0.9521522589825685,0,balanced
73553382087,Estate Annie Josephine Wellard,VIC,Small,TRUE,Grant-making activities,TRUE,0,0,0,0,0,0,0,0,0,11336,0,0,5938,0,2843,8781,2555,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,11336,accurate,2843,5938,accurate,0,0,not excessive,0,0,5938,0,0.523817925194072,balanced
73613678967,One Voice For Aussie Youth LTD,VIC,Small,TRUE,Other health service delivery,TRUE,0,1,0,NA,0,152513,0,0,0,168410,7723,0,0,0,41945,49668,118742,2014,Valid ABN,TRUE,TRUE,TRUE,S,TRUE,Small,152513,15897,accurate,49668,0,accurate,1,7723,not excessive,0,152513,0,0.9056053678522653,0,balanced
73710361216,St Peter & Pauls School Building Fund Trust,VIC,Small,TRUE,Other activity,TRUE,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,470,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,470,accurate,0,0,accurate,0,0,not excessive,0,0,0,0,0,balanced
73735632665,St Joseph's Primary School Charlton,VIC,Medium,TRUE,Primary secondary education,TRUE,3,8,0,NA,787952,0,55140,843092,0,843092,625927,0,0,0,236544,862471,19379,2014,Valid ABN,FALSE,FALSE,FALSE,M,TRUE,Medium,843092,0,accurate,862471,0,accurate,11,56902.454545454544,not excessive,0,787952,0,0.9345978849283352,0,balanced
73750402556,Jindi Woraback Children's Centre,VIC,Large,TRUE,Other education,TRUE,30,10,0,NA,0,0,2285178,2285178,5022,2290200,1940067,0,576,0,326881,2267524,22676,2014,Valid ABN,FALSE,TRUE,TRUE,L,TRUE,Large,2290200,0,accurate,2266948,576,accurate,40,48501.675,not excessive,0,0,576,0,2.5150641865339274e-4,balanced
73751628496,Wallace Avenue Community Park,VIC,Small,TRUE,Grant-making activities,TRUE,0,0,0,NA,0,1088,0,0,0,1088,0,0,0,0,0,0,1088,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,1088,0,accurate,0,0,accurate,0,0,not excessive,0,1088,0,1,0,balanced
