abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
35432137202,Duke Street Community House Association,VIC,Medium,TRUE,Employment training,TRUE,0,6,6,12,300119,526,87362,388007,0,388007,278706,0,200,0,150105,429011,-41004,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,388007,0,accurate,429011,0,accurate,24,11612.75,not excessive,0,300119,0.7734886226279423,balanced
35434905544,Doris Blackburn Pre School Inc,VIC,Medium,TRUE,Other education,TRUE,1,8,0,10,381333,0,130694,512027,0,512027,409764,0,0,0,78836,488600,23427,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,512027,0,accurate,488600,0,accurate,19,21566.526315789473,not excessive,0,381333,0.7447517416073762,balanced
35534063578,Arch Of Victory/Avenue Of Honour Committee Incorporated,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,20,200000,6231,0,0,0,213435,0,0,0,0,11707,11707,201728,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,206231,7204,accurate,11707,0,accurate,20,0,not excessive,0,200000,0.9370534354721578,balanced
35582901627,Victorian Adoption Network For Information And Self Help Association,VIC,Medium,TRUE,Social services,TRUE,2,7,0,20,373728,5450,86463,465641,0,465641,320429,0,0,0,126294,446723,18918,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,465641,0,accurate,446723,0,accurate,29,11049.275862068966,not excessive,0,373728,0.8026097358265273,balanced
35678241392,Cann River Rsl Sub-Branch,VIC,Small,TRUE,Aged care activities,TRUE,0,0,0,10,0,0,0,0,0,3335,0,0,0,0,3374,3374,3862,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,3335,accurate,3374,0,accurate,10,0,not excessive,0,0,0,balanced
35708464538,Benalla Trust Foundation,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,5,0,7900,0,0,0,15650,0,0,0,0,23278,23273,-7628,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,7900,7750,accurate,23278,5,accurate,5,0,not excessive,0,0,0,balanced
35721147626,SOUTH WEST CO-OP LTD,VIC,Small,TRUE,Housing activities,TRUE,0,0,0,5,0,0,0,0,0,1633,0,0,0,0,5542,5542,-3909,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,1633,accurate,5542,0,accurate,5,0,not excessive,0,0,0,balanced
35772201694,Mansfield Support Group For Carers and People with Special Needs Inc.,VIC,Small,TRUE,Social services,TRUE,0,1,0,4,14364,0,0,0,0,14748,9291,0,0,0,3673,12964,1784,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,14364,384,accurate,12964,0,accurate,5,1858.2,not excessive,0,14364,0.9739625711960944,balanced
35795165583,Amicus Group Inc,VIC,Large,TRUE,Social services,TRUE,5,50,15,5,2660308,2964,112427,2775699,0,2775699,2575828,0,0,0,524253,3100081,-324382,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,2775699,0,accurate,3100081,0,accurate,75,34344.37333333334,not excessive,0,2660308,0.9584281292748241,balanced
35823252867,Cobaw Community Health Services Limited,VIC,Large,TRUE,Other health service delivery,TRUE,9,58,5,48,5110157,30043,365294,5505494,206121,5711615,3899603,0,0,305005,1329035,5533643,177972,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,5711615,0,accurate,5533643,0,accurate,120,32496.691666666666,not excessive,0,5110157,0.894695633371647,balanced
35835856937,Geelong Central Fidelity Club Incorporated,VIC,Small,TRUE,Social services,TRUE,0,0,0,11,0,20,0,0,0,7421,0,0,7920,0,295,8216,-794,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,20,7401,accurate,8215,1,accurate,11,0,not excessive,0,0,0,balanced
35911988033,Delhuntie Park Youth Care & Life Style Centre Inc,VIC,Small,TRUE,Social services,TRUE,2,3,0,10,0,84902,0,0,0,104409,78892,0,9284,0,139303,227479,-123069,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,84902,19507,accurate,227479,0,accurate,15,5259.466666666666,not excessive,0,0,0,balanced
35928521721,Thrive Community Incorporated,VIC,Small,TRUE,Social services,TRUE,0,0,0,100,0,2000,0,0,0,11260,984,0,0,0,6455,7439,3821,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,2000,9260,accurate,7439,0,accurate,100,9.84,not excessive,0,0,0,balanced
35939638959,The Trustee For The Global Reconciliation Foundation,VIC,Small,TRUE,Economic social community development,TRUE,0,5,5,12,0,12000,0,0,0,12000,0,0,12000,0,0,12000,0,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,12000,0,accurate,12000,0,accurate,22,0,not excessive,0,0,0,balanced
