abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,government_grants,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
38318286045,Traralgon United Common Equity Rental Housing Co-operative Limited,VIC,Medium,TRUE,Housing activities,TRUE,0,0,0,7,0,251736,251736,0,251736,0,0,0,0,292014,292014,-40278,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,251736,0,accurate,292014,0,accurate,7,0,not excessive,0,0,0,balanced
38348259102,Espod Geelong Inc,Victoria,Small,TRUE,Mental health crisis intervention,TRUE,0,0,0,23,12051,0,12139,0,12139,0,0,0,0,13241,13241,-1102,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,12051,88,accurate,13241,0,accurate,23,0,not excessive,0,0,0,balanced
38426810655,Baw Baw Combined Churches Food Relief Inc.,Victoria,Small,TRUE,Emergency relief,TRUE,0,0,0,65,75399,8522,104721,0,104721,0,0,0,0,66178,66178,38543,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,10000,93921,10800,accurate,66178,0,accurate,65,0,not excessive,0,10000,0.09549183067388585,balanced
38475319104,Ebenezer Village Incorporated,Victoria,Medium,TRUE,Aged care activities,TRUE,2,2,0,49,0,530038,530038,0,530038,77959,0,0,0,341382,419341,110697,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,530038,0,accurate,419341,0,accurate,53,1470.9245283018868,not excessive,0,0,0,balanced
38494842831,Skills Connection Inc,Victoria,Large,TRUE,Economic social community development,TRUE,14,18,100,0,0,143199,5987395,0,5987395,4691447,20948,0,0,946285,5658680,328715,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,5039662,5182861,804534,accurate,5658680,0,accurate,132,35541.26515151515,not excessive,0,5039662,0.8417119632160563,balanced
38515028392,Tongala RSL Sub-Branch Welfare Patriotic Fund,VIC,Small,TRUE,Social services,TRUE,0,0,0,5,0,0,129,0,129,0,0,0,0,0,0,129,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,129,accurate,0,0,accurate,5,0,not excessive,0,0,0,balanced
38532871936,Ballan RSL Sub-Branch Patriotic Fund,VIC,Small,TRUE,Social services,TRUE,0,0,0,5,0,15,53134,5091,58225,0,0,0,0,14123,14123,44101,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,45100,50206,8019,accurate,14123,0,accurate,5,0,not excessive,0,45100,0.7745813653928725,balanced
38607821901,FGM Restoration Australia Limited,Victoria,Small,TRUE,Economic social community development,TRUE,0,0,0,10,5063,9,5072,0,5072,0,0,0,0,4524,4524,548,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,5072,0,accurate,4524,0,accurate,10,0,not excessive,0,0,0,balanced
38608109440,Tech 2 Kids,VIC,Small,TRUE,Social services,TRUE,0,0,0,2,716,0,716,0,716,0,0,0,0,1142,1142,-426,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,716,0,accurate,1142,0,accurate,2,0,not excessive,0,0,0,balanced
38609405003,Reseed (Indico) Ltd,VIC,Small,TRUE,Other education,TRUE,0,0,0,2,18983,2,18985,0,18985,0,0,0,0,4732,4732,14253,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,18985,0,accurate,4732,0,accurate,2,0,not excessive,0,0,0,balanced
38612529674,Hester Hornbrook Academy Ltd,VIC,Large,TRUE,Other education,TRUE,9,4,0,0,0,0,4761938,0,4761938,2430446,0,0,0,1735659,4166105,595833,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,4761938,4761938,0,accurate,4166105,0,accurate,13,186957.38461538462,not excessive,0,4761938,1,balanced
38612585127,SugarByHalf Limited,Victoria,Small,TRUE,Civic advocacy activities,TRUE,0,0,1,3,171072,15922,186994,0,186994,61758,0,0,0,103881,165639,21355,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,186994,0,accurate,165639,0,accurate,4,15439.5,not excessive,0,0,0,balanced
38743900669,Donald Friends And Neighbours Society,Victoria,Small,TRUE,Economic social community development,TRUE,0,0,0,12,41521,12278,56962,0,56962,0,0,0,0,27120,27120,29842,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,53799,3163,accurate,27120,0,accurate,12,0,not excessive,0,0,0,balanced
38753312146,Twentieth Man Fund Incorporated,Victoria,Large,TRUE,Economic social community development,TRUE,12,1,0,40,1357348,0,1616846,0,1616846,750372,238,0,0,789384,1539994,76852,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,242364,1599712,17134,accurate,1539994,0,accurate,53,14157.962264150943,not excessive,0,242364,0.14989924828957119,balanced
38826799374,Lorne Surf Life Saving Club Inc (Reg. No. A0007451U),VIC,Large,TRUE,Emergency relief,TRUE,0,1,0,500,44629,1077158,1185235,0,1185235,37328,0,12866,0,1121418,1171612,13623,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,1121787,63448,accurate,1171612,0,accurate,501,74.50698602794411,not excessive,0,0,0,balanced
39022305936,North East Multicultural Association Incorporated,Victoria,Small,TRUE,Civic advocacy activities,TRUE,0,1,1,50,2409,77,119710,0,119710,66856,0,0,0,40720,107576,12134,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,110400,112886,6824,accurate,107576,0,accurate,52,1285.6923076923076,not excessive,0,110400,0.9222287194052293,balanced
39093685879,Institute For Breathing And Sleep,VIC,Large,TRUE,Other health service delivery,TRUE,17,12,10,0,860,0,1697177,0,1697177,1308504,0,0,0,380045,1688549,8628,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,1309782,1310642,386535,accurate,1688549,0,accurate,39,33551.38461538462,not excessive,0,1309782,0.7717415449301988,balanced
39116072050,Anglicord Limited,Victoria,Large,TRUE,International activities,TRUE,2,5,0,25,1063675,11407,2367736,0,2367736,692376,0,0,1227802,436842,2357020,10716,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,808220,1883302,484434,accurate,2357020,0,accurate,32,21636.75,not excessive,0,808220,0.34134717721908187,balanced
39118018992,Personal Injury Education Foundation Limited,Victoria,Large,TRUE,Other education,TRUE,8,3,0,0,0,711700,1931910,0,1931910,1147647,0,0,0,681888,1829535,102375,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,250000,961700,970210,accurate,1829535,0,accurate,11,104331.54545454546,not excessive,0,250000,0.12940561413316357,balanced
39158806127,Go For Greatness,Victoria,Small,TRUE,Other education,TRUE,0,0,1,3,16234,0,17549,0,17549,0,0,0,0,7221,7221,10328,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,16234,1315,accurate,7221,0,accurate,4,0,not excessive,0,0,0,balanced
39196128141,Order Of Malta Hospice Home Care (Vic) Incorporated,VIC,Small,TRUE,Aged care activities,TRUE,0,0,0,80,75808,17205,102383,8274,110657,0,0,33284,2230,30768,66282,44375,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,101287,9370,accurate,66282,0,accurate,80,0,not excessive,0,0,0,balanced
39260113685,Young Achievers Common Equityrental Housing Co Operative Ltd,VIC,Small,TRUE,Housing activities,TRUE,0,0,0,6,0,231967,231967,0,231967,0,0,0,0,251307,251307,-19340,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,231967,0,accurate,251307,0,accurate,6,0,not excessive,0,0,0,balanced
39416364359,Whittlesea Rsl Sub-Branch,VIC,Small,TRUE,Civic advocacy activities,TRUE,0,0,0,10,0,0,22602,0,22602,0,0,11741,0,0,11741,10861,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,22602,accurate,11741,0,accurate,10,0,not excessive,0,0,0,balanced
39424731320,RETURNED NURSES RSL SUB-BRANCH PATRIOTIC FUND,VIC,Small,TRUE,Social services,TRUE,0,0,0,5,0,12051,12051,0,12051,0,0,0,0,12809,12809,-758,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,12051,0,accurate,12809,0,accurate,5,0,not excessive,0,0,0,balanced
39482549157,Capital Punishment Justice Project Limited,VIC,Small,TRUE,Civic advocacy activities,TRUE,0,0,0,14,31530,4480,81946,8,81954,448,0,0,0,64038,64486,17468,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,45900,81918,36,accurate,64486,0,accurate,14,32,not excessive,0,45900,0.5600702833296728,balanced
39491685563,Mpower Inc,Victoria,Large,TRUE,Social services,TRUE,14,31,21,7,19017,117624,4531153,6731,4537884,3379705,0,0,0,1136528,4516233,21651,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,4232900,4376272,161612,accurate,4516233,0,accurate,73,46297.32876712329,not excessive,0,4232900,0.9327915830373804,balanced
39549633822,Peninsula Ostomy Association Inc,Victoria,Large,TRUE,Other health service delivery,TRUE,0,6,0,25,19236,84815,4044719,0,4044719,201055,0,10250,0,3936528,4147833,-103114,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,3775824,3879875,164844,accurate,4147833,0,accurate,31,6485.645161290323,not excessive,0,3775824,0.9335194855316278,balanced
39589812425,Frankston/Mornington Peninsula Local Learning & Employment Network Inc,Victoria,Medium,TRUE,Other education,TRUE,1,5,0,0,0,308627,869882,0,869882,573005,0,0,0,197058,770063,99819,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,560191,868818,1064,accurate,770063,0,accurate,6,95500.83333333333,not excessive,0,560191,0.643985046247652,balanced
39618980546,The Papua New Guinea Tribal Foundation Pty Ltd,Victoria,Small,TRUE,Economic social community development,TRUE,0,2,2,10,84022,3925,87947,0,87947,31095,0,500,12000,44042,87637,310,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,87947,0,accurate,87637,0,accurate,14,2221.0714285714284,not excessive,0,0,0,balanced
